Location,Latitude,Longitude
Alpine city,40.46,-111.77
Alta town,40.58,-111.62
Altamont town,40.36,-110.29
Alton town,37.43,-112.51
Amalga town,41.86,-111.9
American Fork city,40.38,-111.79
Aneth,37.21,-109.16
Annabella town,38.71,-112.06
Antimony town,38.1,-111.98
Apple Valley town,37.08,-113.11
Aurora city,38.92,-111.93
Avon,41.54,-111.81
Ballard town,40.3,-109.95
Bear River City city,41.61,-112.12
Beaver city,38.27,-112.64
Benjamin,40.09,-111.74
Benson,41.75,-111.92
Beryl Junction,37.7,-113.65
Bicknell town,38.34,-111.54
Big Water town,37.07,-111.66
Blanding city,37.62,-109.51
Bluebell,40.36,-110.22
Bluff,37.29,-109.57
Bluffdale city,40.48,-111.94
Bonanza,40.03,-109.19
Boulder town,37.92,-111.43
Bountiful city,40.87,-111.86
Brian Head town,37.7,-112.84
Brigham City city,41.5,-112.04
Bryce Canyon City town,37.68,-112.16
Cache,41.83,-112.01
Cannonville town,37.58,-112.06
Carbonville,39.63,-110.83
Castle Dale city,39.22,-111.02
Castle Valley town,38.63,-109.4
Cedar City city,37.68,-113.09
Cedar Fort town,40.34,-112.11
Cedar Hills city,40.41,-111.75
Centerfield town,39.13,-111.82
Centerville city,40.93,-111.88
Central,37.41,-113.63
Central Valley town,38.7,-112.1
Charleston town,40.47,-111.46
Circleville town,38.17,-112.27
Clarkston town,41.92,-112.05
Clawson town,39.14,-111.1
Clear Creek,39.64,-111.15
Clearfield city,41.1,-112.02
Cleveland town,39.35,-110.86
Clinton city,41.14,-112.07
Coalville city,40.92,-111.39
Copperton,40.56,-112.09
Corinne city,41.55,-112.12
Cornish town,41.97,-111.95
Cottonwood Heights city,40.62,-111.82
Cove,41.97,-111.78
Dammeron Valley,37.3,-113.67
Daniel town,40.47,-111.41
Delta city,39.35,-112.57
Deseret,39.29,-112.65
Deweyville town,41.69,-112.09
Draper city,40.5,-111.86
Duchesne city,40.17,-110.39
Dugway,40.23,-112.75
Dutch John,40.93,-109.39
Eagle Mountain city,40.31,-112
East Carbon city,39.53,-110.44
Echo,40.98,-111.44
Eden,41.3,-111.81
Elberta,39.97,-111.96
Elk Ridge city,40.01,-111.68
Elmo town,39.39,-110.82
Elsinore town,38.68,-112.15
Elwood town,41.68,-112.14
Emery town,38.92,-111.25
Emigration Canyon,40.79,-111.74
Enoch city,37.77,-113.04
Enterprise,41.11,-111.73
Enterprise city,37.57,-113.74
Ephraim city,39.36,-111.58
Erda,40.6,-112.33
Escalante city,37.76,-111.6
Eureka city,39.96,-112.12
Fairfield town,40.25,-112.08
Fairview city,39.63,-111.44
Farmington city,40.98,-111.91
Farr West city,41.3,-112.03
Fayette town,39.22,-111.85
Ferron city,39.09,-111.13
Fielding town,41.81,-112.12
Fillmore city,38.97,-112.34
Flaming Gorge,40.89,-109.48
Fort Duchesne,40.28,-109.88
Fountain Green city,39.63,-111.64
Francis town,40.61,-111.28
Fremont,38.46,-111.61
Fruit Heights city,41.03,-111.91
Garden,41.89,-111.43
Garden City town,41.94,-111.41
Garland city,41.74,-112.16
Genola town,40.01,-111.85
Glendale town,37.34,-112.6
Glenwood town,38.76,-111.99
Goshen town,39.95,-111.9
Granite,40.57,-111.8
Grantsville city,40.6,-112.47
Green River city,38.98,-110.09
Gunnison city,39.16,-111.81
Halchita,37.13,-109.91
Halls Crossing,37.46,-110.68
Hanksville town,38.37,-110.71
Harrisville city,41.29,-111.99
Hatch town,37.65,-112.44
Heber city,40.51,-111.4
Helper city,39.69,-110.86
Henefer town,41.02,-111.49
Henrieville town,37.56,-112
Herriman city,40.49,-112.01
Hideout town,40.64,-111.4
Highland city,40.43,-111.8
Hildale city,37.01,-112.99
