site_id,date,pm25
60070008,11/14/18,197
60070008,11/17/18,192.5
60670006,11/10/18,182.1
60670006,11/14/18,179.5
60610006,11/10/18,171.8
61131003,11/16/18,165.4
60333002,11/10/18,157.9
60430003,8/6/18,157
60271003,5/11/18,156
60670010,11/10/18,149.9
60270002,8/4/18,143.9
60932001,7/31/18,143.2
60070008,11/18/18,139.9
61050002,8/8/18,133.9
60890004,7/31/18,131
61059000,8/15/18,130.6
60932001,8/1/18,128.5
60932001,8/21/18,126
61050002,8/9/18,119
60110007,8/4/18,118.2
60930005,8/21/18,117.6
60111002,11/16/18,113.2
60932001,8/15/18,113
60310004,11/19/18,111.5
60110007,8/7/18,110.7
60670010,11/13/18,108.8
60932001,8/7/18,104.5
60374008,1/1/18,103.8
60670006,11/12/18,103.6
60890004,8/6/18,102.8
60930005,8/6/18,101.7
60290016,1/2/18,100.9
60290010,1/2/18,99.1
60290014,1/3/18,98.5
60110007,8/6/18,97.7
60290014,1/2/18,97.5
60290014,11/19/18,96.5
60290010,11/19/18,95.3
60932001,8/2/18,95
61131003,11/10/18,95
60472510,11/16/18,94.7
60932001,8/22/18,94.5
60932001,8/9/18,93.4
60290014,1/1/18,93.1
60932001,8/8/18,92.3
60610003,11/15/18,91.1
60430003,7/25/18,91
60670006,11/13/18,90.7
60195025,11/19/18,89.8
60850005,11/10/18,89.4
60070008,11/20/18,89.1
61072002,1/2/18,86.8
60658005,1/1/18,86
60932001,8/14/18,84.9
60893003,7/28/18,84.7
60310004,1/2/18,84.6
60930005,8/15/18,84.6
60110007,8/10/18,83.5
60190011,1/2/18,83.3
60190011,11/19/18,82.7
60195025,1/2/18,82.4
60195001,1/2/18,81.7
60310004,11/16/18,81.7
60392010,1/3/18,81.7
60190011,1/3/18,81.3
60290014,1/4/18,81
60932001,7/20/18,80.3
60932001,8/6/18,80.1
60110007,8/1/18,79.7
60110007,11/16/18,79.7
60374002,1/1/18,79.6
60110007,8/5/18,78.8
60190011,11/18/18,78.1
60932001,7/21/18,78.1
60231005,8/19/18,77.8
60850005,11/14/18,77.7
60290014,11/20/18,77.3
60374004,1/1/18,77.3
60110007,11/15/18,76.9
60932001,8/16/18,76.7
60270002,8/2/18,76
60932001,8/23/18,74.7
60472510,11/19/18,73.8
