"","Cst_Cnt","Sta_ID","Depthm","T_degC","Salnty","O2ml_L","O2Sat","Oxy_µmol.Kg","ChlorA","Phaeop","PO4uM","SiO3uM","NO2uM","NO3uM","NH3uM","C14A1q","C14A2q"
"108577",3756,"136.7 030.0",0,20.97,34.6,4.91,96.5,214.0996,NA,NA,NA,NA,NA,NA,NA,9,9
"176475",6816,"120.0 150.0",0,18.3,33.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"193561",7489,"096.0 142.0",1600,2.5,34.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"197874",7626,"019.0 242.0",1600,2.41,34.577,0.79,10.4,34.33349,NA,NA,NA,NA,NA,NA,NA,9,9
"197924",7627,"034.0 282.0",1600,2.39,34.571,1.2,15.8,52.15234,NA,NA,NA,NA,NA,NA,NA,9,9
"199001",7653,"040.0 072.0",1600,2.38,34.576,1.08,14.2,46.93687,NA,NA,NA,NA,NA,NA,NA,9,9
"200819",7695,"118.0 232.0",1600,2.66,34.62,1.49,19.7,64.75475,NA,NA,3.1,NA,NA,NA,NA,9,9
"202070",7723,"049.0 422.0",1600,2.53,34.578,1.62,21.4,70.40607,NA,NA,NA,NA,NA,NA,NA,9,9
"204618",7810,"110.0 122.0",1600,2.71,34.633,1.36,18,59.10466,NA,NA,NA,NA,NA,NA,NA,9,9
"226267",8639,"148.0 072.0",1600,2.97,34.615,0.9,12,39.11478,NA,NA,NA,NA,NA,NA,NA,9,9
"242863",9304,"076.0 049.0",0,13.24,33.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"369397",13776,"096.0 082.0",1600,2.61,34.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"369454",13777,"096.0 082.0",1600,2.58,34.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"369508",13778,"096.0 082.0",1600,2.63,34.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"388898",14596,"136.7 030.0",0,21.88,33.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"388910",14597,"136.7 030.0",0,21.86,33.935,5.66,112.6,246.9841,NA,NA,0.2,1,0,NA,NA,9,9
"390134",14651,"100.0 040.0",0,14.7,33.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"445270",17534,"080.0 080.0",0,10.85,33.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"468111",18601,"028.7 182.0",1600,2.38,34.558,0.98,12.9,42.59145,NA,NA,3.18,170,0.03,43.3,NA,9,9
"472956",18829,"156.7 100.0",0,27.6,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"476619",19073,"131.0 002.0",1600,3.02,34.614,0.65,8.7,28.2497,NA,NA,3.26,167.4,0.01,42.2,NA,9,9
"476767",19077,"132.0 002.0",1600,3.03,34.61,0.65,8.7,28.24981,NA,NA,NA,NA,NA,NA,NA,9,9
"509318",20725,"095.0 072.0",1600,2.62,34.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"570560",23320,"063.3 060.0",0,11.48,32.95,6.44,103.9,280.5698,1.25,0.32,0.67,4.5,0.1,4,NA,9,9
"590386",24113,"092.0 050.0",10,13.48,33.615,6.15,103.9,267.9012,1.67,0.41,0.6,7.3,0.15,2.4,NA,9,9
"605545",24752,"057.5 050.7",0,10.93,33.083,7.59,121.1,330.6064,14.77,1.49,0.44,3.7,0.07,1.4,NA,9,9
